loss,n,k,N,seed,d,run_dir,best_margin_in_run
SigLIP,120,2,7140,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_15,0.056519147008657455
SigLIP,120,2,7140,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_20,0.0778813473880291
SigLIP,120,2,7140,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_25,0.09641283005475998
SigLIP,120,2,7140,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_30,0.129904605448246
SigLIP,120,2,7140,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_120_k_2_N_7140_seed_0/d_5,-0.004080295562744141
SigLIP,140,2,9730,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_15,0.049597037956118584
SigLIP,140,2,9730,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_20,0.07145626470446587
SigLIP,140,2,9730,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_25,0.0894785076379776
SigLIP,140,2,9730,0,30,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_30,0.12120552361011505
SigLIP,140,2,9730,0,5,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_140_k_2_N_9730_seed_0/d_5,-0.0027598440647125244
SigLIP,160,2,12720,0,15,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_15,0.04580918699502945
SigLIP,160,2,12720,0,20,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_20,0.06755698099732399
SigLIP,160,2,12720,0,25,/home/kirilb/orcd/scratch/TopK_data/SyntheticEmbeddings/sigmoid_random_initialization/b_rel_0/graph_n_160_k_2_N_12720_seed_0/d_25,0.0848761610686779
