loss,n,N,d,positive_score_mean,negative_score_mean,midpoint_threshold,false_positive_count,negative_count,false_positive_rate,false_negative_count,positive_count,false_negative_rate
InfoNCE,20,190,5,0.5859901546647674,-0.06418673863007458,0.2609017080173464,1020,3420,0.2982456140350877,0,380,0.0
InfoNCE,20,190,6,0.6016986206958168,-0.0668663213006434,0.2674161496975867,912,3420,0.26666666666666666,0,380,0.0
InfoNCE,20,190,7,0.6122387655471501,-0.06760645549676417,0.27231615502519296,636,3420,0.18596491228070175,0,380,0.0
InfoNCE,20,190,8,0.6325440046818633,-0.0705618525537569,0.2809910760640532,351,3420,0.10263157894736842,0,380,0.0
InfoNCE,20,190,9,0.635074666299318,-0.06921322245613913,0.2829307219215894,200,3420,0.05847953216374269,0,380,0.0
InfoNCE,20,190,10,0.6485586896538734,-0.06941694026566422,0.2895708746941046,71,3420,0.020760233918128656,0,380,0.0
InfoNCE,20,190,11,0.6450480053299352,-0.07034978842914835,0.2873491084503934,17,3420,0.004970760233918129,0,380,0.0
InfoNCE,20,190,12,0.6418349443297637,-0.07053480008292179,0.285650072123421,8,3420,0.0023391812865497076,0,380,0.0
InfoNCE,20,190,13,0.6390021647277632,-0.06953018114878932,0.28473599178948694,0,3420,0.0,0,380,0.0
InfoNCE,20,190,14,0.6410990955013978,-0.06774736121872577,0.28667586714133597,0,3420,0.0,0,380,0.0
InfoNCE,20,190,15,0.6406907192186305,-0.06972601510902326,0.28548235205480366,0,3420,0.0,0,380,0.0
InfoNCE,20,190,16,0.6418613560889896,-0.06597452873887194,0.2879434136750588,0,3420,0.0,0,380,0.0
InfoNCE,20,190,17,0.6355359853882538,-0.06827606220794707,0.2836299615901534,0,3420,0.0,0,380,0.0
InfoNCE,20,190,18,0.6325747682860023,-0.06172384373717596,0.2854254622744132,0,3420,0.0,0,380,0.0
InfoNCE,20,190,19,0.632474116275185,-0.06829203766673243,0.2820910393042263,0,3420,0.0,0,380,0.0
InfoNCE,20,190,20,0.6257593623117397,-0.06744048336386373,0.27915943947393795,0,3420,0.0,0,380,0.0
InfoNCE,20,190,21,0.6302567347099907,-0.06669799245899635,0.28177937112549717,0,3420,0.0,0,380,0.0
InfoNCE,20,190,22,0.6259064969263579,-0.0657818054264473,0.2800623457499553,0,3420,0.0,0,380,0.0
InfoNCE,20,190,23,0.6219157866741482,-0.0648437979480344,0.27853599436305687,0,3420,0.0,0,380,0.0
InfoNCE,20,190,24,0.6178898955646314,-0.06265429248160988,0.2776178015415107,0,3420,0.0,0,380,0.0
InfoNCE,20,190,25,0.6228336900472641,-0.06687854694223754,0.2779775715525133,0,3420,0.0,0,380,0.0
InfoNCE,20,190,26,0.6111064496793245,-0.06550170861616517,0.27280237053157963,0,3420,0.0,0,380,0.0
InfoNCE,20,190,27,0.6234899638514769,-0.06890656533566807,0.2772916992579044,0,3420,0.0,0,380,0.0
InfoNCE,20,190,28,0.6162892262402334,-0.06442618675418786,0.27593151974302277,0,3420,0.0,0,380,0.0
InfoNCE,20,190,29,0.6197676173166224,-0.06359039201841912,0.2780886126491017,0,3420,0.0,0,380,0.0
InfoNCE,20,190,30,0.6107642770597809,-0.06474005990660489,0.273012108576588,0,3420,0.0,0,380,0.0
InfoNCE,40,780,5,0.5374557587962884,-0.025872536714110456,0.25579161104108894,10556,29640,0.356140350877193,0,1560,0.0
InfoNCE,40,780,6,0.5787566619805801,-0.03038899635347552,0.2741838328135523,8489,29640,0.2864035087719298,0,1560,0.0
InfoNCE,40,780,7,0.5790096606008518,-0.03174380709283867,0.2736329267540066,7336,29640,0.2475033738191633,0,1560,0.0
InfoNCE,40,780,8,0.6079917284349601,-0.03185794555209049,0.28806689144143477,6580,29640,0.22199730094466938,0,1560,0.0
InfoNCE,40,780,9,0.6191561540732017,-0.03384728245883715,0.29265443580718226,5570,29640,0.1879217273954116,0,1560,0.0
InfoNCE,40,780,10,0.6350305523818884,-0.03301496766173314,0.30100779236007763,4640,29640,0.15654520917678813,0,1560,0.0
InfoNCE,40,780,11,0.6461086064003981,-0.033583786508602484,0.3062624099458978,3603,29640,0.1215587044534413,0,1560,0.0
InfoNCE,40,780,12,0.6488587603164024,-0.03250151834270903,0.30817862098684673,2926,29640,0.09871794871794871,0,1560,0.0
InfoNCE,40,780,13,0.6541557274758816,-0.03378627227016903,0.31018472760285626,1742,29640,0.058771929824561406,0,1560,0.0
